data;typ;tytul;zwyciezca;nip;link_pdf
2026-06-18;ZAMOWIENIE;Częściowy remont konstrukcji i pokrycia dachowego budynku archiwum;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-6da56104-6091-4680-b798-9ef4a71913ad
2026-06-18;ZAMOWIENIE;Modernizacja obiektu użyteczności publicznej przy ul. Kolegiackiej 3 w Warszawie;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-fc7de46b-c852-474d-9191-48635af40848
2026-06-19;ZAMOWIENIE;Dostawa i montaż specjalistycznego kontenera do magazynowania cieczy łatwopalnych i produktów ropopochodnych;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-de56cc61-f921-42a6-92a5-fd0ad955df20
2026-06-19;ZAMOWIENIE;Wymiana poduszek dachu membranowego z wymianą osprzętu, przeglądem pozostałych poduszek oraz naprawą drobnych uszkodzeń i ubytków;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-33e34a30-e481-4e51-9210-4201074434fb
2026-06-20;ZAMOWIENIE;Budowa magazynu obrony cywilnej na terenie Gminy Sułkowice (projekt wraz z budową);;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-6fa651d4-7281-49b8-b38a-9ba46f868bd3
2026-06-20;ZAMOWIENIE;Budowa wiaty magazynowej na mieszankę piaskowo-solną na terenie ZDP w Aleksandrówce;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-56ea4637-b3bc-4e00-8fa4-b7d7e377e22f
2026-06-20;ZAMOWIENIE;„Zazielenienie infrastruktury miejskiej, dachów i murów”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-f69be8d4-eccd-4d72-9748-b2e34cbebec9
2026-06-20;ZAMOWIENIE;„Modernizacja punktu selektywnej zbiórki odpadów komunalnych dla Miasta i Gminy Kazimierza Wielka.”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-65c078c7-0635-4171-bf5f-f440f96910f8
2026-06-21;ZAMOWIENIE;NAPRAWA POKRYCIA DACHOWEGO BUDYNKU NR 33 W KOMPLEKSIE WOJSKOWYM W OLEŚNICY PRZY UL. WILEŃSKIEJ 14;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-cc86237d-2c01-4400-8b87-136c2bfa9a68
2026-06-21;ZAMOWIENIE;"Modernizacja gminnego magazynu i adaptacja pomieszczeń znajdujących się w Pietrowicach 14 do pełnienia funkcji koordynacji działań pomocowych dla ludności - w formule ""zaprojektuj i wybuduj"".";;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-63d73a9b-e8e7-4e52-a73a-d77bab40616c
2026-06-21;ZAMOWIENIE;Budowa bazy magazynowej ochrony ludności i obrony cywilnej w Karpaczu w ramach rozbudowy Administracyjnego Centrum Zarządzania Miasta;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-d11dc6a1-d483-4aa2-8cbf-ed1cf4f68707
2026-06-21;ZAMOWIENIE;Remont czapek kominowych i instalacji odgromowej na dachu budynku ul. Oczapowskiego 14 UWM w Olsztynie.;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-3d2beab9-6e5b-4e73-9c01-d819af9814a4
2026-06-21;ZAMOWIENIE;Termomodernizacja budynku Urzędu Gminy w Godowie;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-7486714e-bba8-418c-9903-035c47df843c
2026-06-22;ZAMOWIENIE;Budowa budynku mieszkalnego wielorodzinnego wraz z niezbędną infrastrukturą w Sławie przy ul. Obrońców Pokoju z realizacją na działce nr ew. 262/126 obręb Sława;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-ce793b99-95ce-45c3-b0c5-2649db834ec4
2026-06-22;ZAMOWIENIE;„Odbiór, transport i zagospodarowanie odpadów o kodach: 20 01 32, 16 01 03.” Znak sprawy: 02/RZP/SWZ/2026.;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-15ce928c-5335-45ac-ada1-5c69c7cf6527
2026-06-22;ZAMOWIENIE;Modernizacja sieci ciepłowniczych wraz z budową gminnych źródeł ciepła w oparciu o OZE na terenie Gminy Daszyna – II części;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-9efabcdd-0696-4213-9212-711194ec7cc9
2026-06-22;ZAMOWIENIE;„Budowa cmentarza komunalnego w Strzelcach Krajeńskich – etap I”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-8b3f804b-a0eb-4bb9-aaeb-b94276d745a6
2026-06-22;ZAMOWIENIE;WYKONANIE PRAC REMONTOWYCH W BUDYNKACH;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-993ef1b3-acee-47b0-8a02-b9dd4f2c2bbd
2026-06-24;ZAMOWIENIE;Wymiana pokrycia dachu i remont elewacji budynku biurowego Nadleśnictwa Ciechanów,  nr inw. 105/045;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-d2b30f0e-3cb5-4f04-8823-674f2d9286b1
2026-06-25;ZAMOWIENIE;Budowa kompleksu sportowego ORLIK w Rozwadzy;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-f1053e1b-34dc-48d1-8f00-c821288c868b
2026-06-25;ZAMOWIENIE;Wzmocnienie efektywności energetycznej budynku Gminnej Biblioteki i Ośrodka Kultury w Borzytuchomiu;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-24048241-4a6d-418b-90d5-30b30a8a22f1
2026-06-25;ZAMOWIENIE;„Przebudowa, rozbudowa wraz z zadaszeniem trybun z fotowoltaiką z magazynem energii przy stadionie sportowym w Radomyślu Wielkim”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-d03b38c0-f7c9-4f6a-8600-ae5db341d9e0
2026-06-25;ZAMOWIENIE;Utworzenie w istniejącym magazynie, warsztatu naprawczego – tzw. drugie życie wraz z ścieżką edukacyjną (błękitno-zielona infrastruktura PSZOK);;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-7731bd6b-14e1-415e-8d65-7d208c892db9
